source,target,weight
10.17.181.104,172.28.193.157,20
10.17.181.104,172.28.198.11,20
10.17.181.104,172.28.208.188,27
10.17.181.104,172.28.209.73,95
10.17.181.104,172.28.211.45,32
104.16.18.10,172.28.209.73,2813
104.219.172.11,172.28.209.73,2
108.59.10.97,172.28.209.73,2
108.59.2.24,172.28.209.73,1
128.153.145.19,172.28.209.73,2
128.172.160.105,172.28.209.73,2
128.205.32.51,172.28.209.73,3
128.4.11.201,172.28.209.73,3
129.105.164.164,172.28.209.73,2
129.2.73.2,172.28.209.73,2
129.97.134.71,172.28.209.73,2
131.247.253.85,172.28.209.73,2
140.247.173.13,172.28.209.73,2
160.10.5.26,172.28.209.73,2
162.213.3.248,172.28.209.73,45
172.18.16.185,172.28.209.73,497
172.18.16.185,172.28.211.45,47024
172.18.17.101,172.28.211.45,29042
172.18.17.18,172.28.211.45,642
172.18.17.20,172.28.193.157,24
172.18.17.20,172.28.198.11,24
172.18.17.20,172.28.208.188,24
172.18.17.20,172.28.209.73,616
172.18.17.20,172.28.211.45,24
172.18.17.38,172.28.209.73,1029
172.18.17.56,172.28.193.157,223
172.18.17.56,172.28.198.11,221
172.18.17.56,172.28.208.188,222
172.18.17.56,172.28.209.73,1021
172.18.17.56,172.28.211.45,573
172.18.17.94,172.28.209.73,413
172.28.193.157,10.17.181.104,20
172.28.193.157,172.18.17.20,12
172.28.193.157,172.18.17.56,118
172.28.193.157,172.28.198.11,14609
172.28.193.157,172.28.208.188,7347
172.28.193.157,172.28.209.73,9404
172.28.193.157,172.28.211.45,13049
172.28.193.157,173.255.227.205,1
172.28.193.157,198.100.156.225,1
172.28.198.11,10.17.181.104,20
172.28.198.11,172.18.17.20,12
172.28.198.11,172.18.17.56,116
172.28.198.11,172.28.193.157,14616
172.28.198.11,172.28.208.188,9804
172.28.198.11,172.28.209.73,11667
172.28.198.11,172.28.211.45,73357
172.28.198.11,65.99.196.133,1
172.28.198.11,67.18.187.111,1
172.28.208.1,172.28.208.188,1
172.28.208.188,10.17.181.104,27
172.28.208.188,172.18.17.20,12
172.28.208.188,172.18.17.56,117
172.28.208.188,172.28.193.157,7347
172.28.208.188,172.28.198.11,4991
172.28.208.188,172.28.208.1,1
172.28.208.188,172.28.209.73,8799
172.28.208.188,172.28.211.45,10071
172.28.208.188,23.239.26.89,1
172.28.208.188,45.35.50.61,1
172.28.209.73,10.17.181.104,95
172.28.209.73,104.16.18.10,448
172.28.209.73,104.219.172.11,4
172.28.209.73,108.59.10.97,4
172.28.209.73,108.59.2.24,1
172.28.209.73,128.153.145.19,4
172.28.209.73,128.172.160.105,4
172.28.209.73,128.205.32.51,4
172.28.209.73,128.4.11.201,4
172.28.209.73,129.105.164.164,4
172.28.209.73,129.2.73.2,4
172.28.209.73,129.97.134.71,4
172.28.209.73,131.247.253.85,4
172.28.209.73,140.247.173.13,4
172.28.209.73,152.3.102.53,2
172.28.209.73,160.10.5.26,4
172.28.209.73,162.213.3.248,42
172.28.209.73,172.18.16.185,390
172.28.209.73,172.18.17.20,402
172.28.209.73,172.18.17.38,694
172.28.209.73,172.18.17.56,635
172.28.209.73,172.18.17.94,318
172.28.209.73,172.28.193.157,7949
172.28.209.73,172.28.198.11,9589
172.28.209.73,172.28.208.188,7581
172.28.209.73,172.28.211.45,9097
172.28.209.73,18.7.29.125,4
172.28.209.73,192.73.23.18,4
172.28.209.73,198.55.111.5,4
172.28.209.73,199.127.224.53,4
172.28.209.73,199.180.72.85,4
172.28.209.73,206.222.23.50,4
172.28.209.73,208.53.133.42,4
172.28.209.73,208.69.120.55,4
172.28.209.73,216.200.136.9,4
172.28.209.73,216.92.2.158,4
172.28.209.73,23.239.26.89,1
172.28.209.73,64.12.166.38,4
172.28.209.73,66.232.64.7,4
172.28.209.73,69.10.161.5,4
172.28.209.73,69.12.162.27,4
172.28.209.73,69.89.207.99,1
172.28.211.45,10.17.181.104,34
172.28.211.45,172.18.16.185,28879
172.28.211.45,172.18.17.101,17249
172.28.211.45,172.18.17.18,341
172.28.211.45,172.18.17.20,12
172.28.211.45,172.18.17.56,348
172.28.211.45,172.28.193.157,7609
172.28.211.45,172.28.198.11,45873
172.28.211.45,172.28.208.188,12418
172.28.211.45,172.28.209.73,11724
172.28.211.45,45.35.50.61,1
173.255.227.205,172.28.193.157,1
18.7.29.125,172.28.209.73,2
192.73.23.18,172.28.209.73,3
198.100.156.225,172.28.193.157,1
198.55.111.5,172.28.209.73,3
199.127.224.53,172.28.209.73,2
199.180.72.85,172.28.209.73,2
206.222.23.50,172.28.209.73,2
208.53.133.42,172.28.209.73,2
208.69.120.55,172.28.209.73,3
216.200.136.9,172.28.209.73,2
216.92.2.158,172.28.209.73,2
23.239.26.89,172.28.208.188,1
23.239.26.89,172.28.209.73,1
45.35.50.61,172.28.208.188,1
45.35.50.61,172.28.211.45,1
64.12.166.38,172.28.209.73,2
65.99.196.133,172.28.198.11,1
66.232.64.7,172.28.209.73,2
67.18.187.111,172.28.198.11,1
69.10.161.5,172.28.209.73,2
69.12.162.27,172.28.209.73,2
69.89.207.99,172.28.209.73,1
